(793 % 8388608,1 % 2)
(108597077242715510340225947797233418773302218916741161918342011047700315506041 % 1950806232530467192149439238489334886920065750543625760335687911409166574048143122,1660 % 3321)
(109932476732568540001703717867856076098259351119817374809415453038430555305161 % 1978007095093568320418577419811345913743454951493655972697390845322779977131383334,1661 % 3323)
(111283293914255019362363016240022375325254144472226091455618131723889790005469 % 2005570520402157272945009254758584020140651294308611340966308489441871643066406250,1662 % 3325)
(112649694562163824184146309281828236440577518100905292955152085915467452899841 % 2033501118632861813122182027749335437839698089749814761834317319165340084642272766,1663 % 3327)
(114031846090878414981656971765589285709950071559700245079758370684600236432641 % 2061803555757926788760560634181678626889776881869921129875075225990386499168523778,1664 % 3329)
(115429917569819239870069626529958684155133754671561002838355635032732338663961 % 2090482554186340739764666958819797481372536232674683686634607497523381885460690582,1665 % 3331)
(116844079737999722325261485014320912888929092570942939419929706465515877770341 % 2119542893411937505131940426913884846980981945812879241177634458911181350850048474,1666 % 3333)
(118274505018896531083988783282643067647577547749341476936401735299118402433809 % 2148989410668544453321194732286371317725574244756532024988688558650016784667968750,1667 % 3335)
(119721367535434831617722506204804868527213953132451356167381518676967774585481 % 2178827001592249651841823824278487424405913676493756582476773004622438704026616306,1668 % 3337)
(121184843125089220798551613904082497671520935893896611649270719518554817510121 % 2209060620890860989978888849016855033159342003924818602601916234696629071332588038,1669 % 3339)
(122665109355101048538837167228539561470538116920812386134054734707809977203181 % 2239695283020630972946644392195661797284070496207536130844816434370924660001255242,1670 % 3341)
(124162345537812832327527530450950250044144036333715697942408056947763674146721 % 2270736062870321616507198549825625787411508487115465520295819815870481949537173214,1671 % 3343)
(125676732746120472704686778326347520564833550019768862297048515505990346936849 % 2302188096452684588255525528362692316270749979219976746534930865979194641113281250,1672 % 3345)
(127208453829043979811302181544297474778744999382315757324769479264719153028921 % 2334056581603432465411060104879788489653214470392816815265444499335307817422384246,1673 % 3347)
(128757693427417423223271811984091783061104702132937039612871311900144363261301 % 2366346778687777709124121841948425128294783704951795747023325058753437697077319098,1674 % 3349)
(130324637989698819326072441023245533070907277569288459129742531530841033953201 % 2399064011314616692057391004531109294323639463054170241479672622933082307309489102,1675 % 3351)
(131909475787900672509406394957459249440775711524827817919720301328150793467801 % 2432213667058436859393964366438749365203872844391528123827214827082897330135609554,1676 % 3353)
(133512396933641888458552054701150070807121862825785795676974895129683755790089 % 2465801198189025853509966457863309658100548527988146677151363137030601501464843750,1677 % 3355)
(135133593394321779790617122283496397146049661806402096287376065799431224273661 % 2499832122409062189387524578727952552016957334512754967919986981983951949766028586,1678 % 3357)
(136773259009416886228830137902384709243883844655646252436790926420699941583681 % 2534312023599667831489816853092229313705639771512141554479209810818742207559168958,1679 % 3359)
(138431589506901333425810092375704060511281919029545477875042122780848451743521 % 2569246552574003793330996131589956363796138921505776571248188247308473213979444162,1680 % 3361)
(140108782519791456436824900832649607179377479758422156121664525704560804117081 % 2604641427838990658407647876195365191731797080555076392059860542118372136061009494,1681 % 3363)
(141805037602815415705777955965830510872288168296390504931365580865821204369029 % 2640502436365236705573074504454054702596383019000041231875561037468910217285156250,1682 % 3365)
(143520556249208535259431270774561377653061805315745738389051860210854966213201 % 2676835434365257113389580470524170237106570338846719457049375610805793758057201326,1683 % 3367)
(145255541907635094608559419257931558202242035397489311178297290780603380974761 % 2713646348080068516545984519136077410041402949871879991789425684200223491164189618,1684 % 3369)
(147010199999237307627698340266518308860828293811105447100465872837647556153641 % 2750941174574243993137188685143500610484813695196741439621716659755540777295572422,1685 % 3371)
(148784737934812223427266942257289203725354794932038452546552683485750280578061 % 2788725982539514374529629343143161668020964986428218669787190635933315435545825034,1686 % 3373)
(150579365132117285942449220937716094328366187021416704080557474155371650899169 % 2827006913107002589741129855972723658062359386455852927610976621508598327636718750,1687 % 3375)
(152394293033305290641674113455681146605141431356013888714248438250774400341041 % 2865790180668178583806840668224732961955380569790424789417214958889384092902754466,1688 % 3377)
(154229735122489478403155268207454047831893752510945706056400150670393311282041 % 2905082073704623184545835549998133028433114245234850220026977736130957997644033078,1689 % 3379)
(156085906943439508220080805534852693717201012813797164074158073037712528263061 % 2944888955626690134547250961043484111784663646195179260967599753675129002648725882,1690 % 3381)
(157963026117409051972993188788259510250198798142173800087014694749570405184241 % 2985217265621156355122805744763622299628470023415889076642983919139486603823308174,1691 % 3383)
(159861312361095756050982353646999334532489275896001726420221885515894516206009 % 3026073519507951366486798279429733553893431312101149776148657234501838684082031250,1692 % 3385)
(161780987504734316110833639512411026564149433512359825260633856764847558500681 % 3067464310606057653588410083977785730482581616929603320438857283296271309820740006,1693 % 3387)
(163722275510323412734519678056860172659050714023763657561196058537465214453021 % 3109396310608674639897998996708024037016168881866456732564525190944089448171951338,1694 % 3389)
(165685402489987257179687449747718012444213191823248580478707491881728532401281 % 3151876270467739812103183219919991111879008472770881280629204993798041698232156542,1695 % 3391)
(167670596724472497814344745844885909367348337896516962764677670947937009869121 % 3194911021287901427166536560066426430223072383156693291577223155195602262751510914,1696 % 3393)
(169678088681781239185062010190496282354052950373098583638330688684659528465049 % 3238507475230038129599770428967792013928623780853981181759178648924827575683593750,1697 % 3395)
(171708111035940926986934848656378110701057933001425955557774075358958239635621 % 3282672626424421711185007021211849836732107402272852789968258578805657559904409946,1698 % 3397)
(173760898685911853482549292328904254401436717169865104440491270321098510285201 % 3327413551893620157788293607232257164371845595770530125186459655642827672918796398,1699 % 3399)
(175836688774633039155497045940071692965567284608069347385969081208326423897801 % 3372737412485239048430522382379367539362966616703016554065326639663937796617516402,1700 % 3401)
(177935720708207247580833175393464099844704163629186394647069546534935682916201 % 3418651453814600300473568948679598452917837612244345784217542344098423463477285254,1701 % 3403)
(180058236175225891649476496145891271455182313269322194653001604131754457951789 % 3465163007217458191712426934978946102701550640324496509798814650559425354003906250,1702 % 3405)
(182204479166234590395136516412178765472359342608782591638222786473522581539361 % 3512279490712853535405598301932075584285461814194247833348359275441221917446216286,1703 % 3407)
(184374695993340136740113964807972523278959791837941542567714415683296202176081 % 3560008409976207837894724200054800299484878134807629485551781626070531201749020258,1704 % 3409)
(186569135309959637499459000331677286544515404853484670051931825367472461832121 % 3608357359322760230529663083031552994802704816537881283895957833895884228810857462,1705 % 3411)
(188788048130712587960666891649010951431454350789670675324109188565267065708981 % 3657334022701450938196725653916255289855629760310646856212422963218776569740283194,1706 % 3413)
(191031687851456644287520317699466218388407070904650349062364552024621366791729 % 3706946174699356025915879726333239481659310811759451044810098104166984558105468750,1707 % 3415)
(193300310269467857881015772380202242297259946625654411792654552811826972605401 % 3757201681556779152798300646761022034581078567783527798892309896891275930121811026,1708 % 3417)
(195594173603766136666694283268920434772110887375808094942816517643700107873161 % 3808108502193107059210065630060251010247274524510622533679052038947981337636674918,1709 % 3419)
(197913538515586699065279255785486704209303963905041089701824322923435951783741 % 3859674689243536518343020777129710465530143739721054544884926205687551072388631722,1710 % 3421)
(200258668128998287141442159700843422797005278465320411911082809938855964480961 % 3911908390106781497622385584083187999794124696700999617017181373582089171416956734,1711 % 3423)
(202629828051668906112895270725524801665294743059890099026574442662790498710369 % 3964817848003870298555553557992011356964234138829681342031108215451240539550781250,1712 % 3425)
(205027286395779858037964812250788459199665515247460000136958767557581328577241 % 4018411403048143475821409403324905286337711757338174578951857967515308505334046166,1713 % 3427)
(207451313799088838083432320099958182967519142988079118539867049961647200223941 % 4072697493326564377688485484940408781556856508942689493068667737827024946401412378,1714 % 3429)
(209902183446142862304841150005943752939803176780288081476651605030558243582161 % 4127684655992455200308161287337185035439153619364598307533365863671647391313691182,1715 % 3431)
(212380171089641796347732502978719478596005585703573774332724713229616402065641 % 4183381528369772508131177770551196254194606020113587419922211411586791829904557874,1716 % 3433)
(214885555071953254899474263547259182911554234592742938394766297953034433783209 % 4239796849069037241717876291161163490032086318444628073714732768607139587402343750,1717 % 3435)
(217418616346779642086538701680944067373394576068399829343091249300954259298381 % 4296939459115035312631239595211513913143700731286117327832073864619125974316973706,1718 % 3437)
(219979638500978103320323217249693601023855439539463027555663150977135082925921 % 4354818303086405972994052906189494711665464050415418471934358929321855100364484638,1719 % 3439)
(222568907776534159344932404956699960053588682531740366847268896561447009056881 % 4413442430267236244734945146664787040739164162881179974925015963496696281031287842,1720 % 3441)
(225186713092689793431779346234325504479320630805177329021554593514708234646521 % 4472820995810780800620932996391400170022833239333243155942463742018035528945138614,1721 % 3443)
(227833346068226762797437607061925395274407608423158809524750463527743633185749 % 4532963261915427805955187421983148822435726403063524324750365056252479553222656250,1722 % 3445)
(230509101043905905391890102899061602424473019963065672114408984771789150462321 % 4593878599013032356387485770961246572400912396794231152462516922713231703599845646,1723 % 3447)
(233214275105063213213172595825906106327300234496656079164846592041817126276601 % 4655576486969740283721217595949711809695729833263311586492531968410497017524743698,1724 % 3449)
(235949168104363443250382466253577700206659953440173038744011579199845224787401 % 4718066516299426247985501207366265023985318433091017040330528109629850128445073702,1725 % 3451)
(238714082684712037039090336648417048387907032057795831928294401854639458507101 % 4781358389389871190455173992636680240956441528997612099669347838162971376489550954,1726 % 3453)
(241509324302326119630314226830203126196880706647024277358568450131902998943489 % 4845461921741805388826991813532927272400487428027997605599440531039237976074218750,1727 % 3455)
(244335201249965348525342514759376340839311563151249459380355585640732685362561 % 4910387043220944532479780210218186107256877914977835394914058052908529751431113986,1728 % 3457)
(247192024680323382812760494828977880495774502948581394901442655844775287923481 % 4976143799323147422742615824253922708809984377224123041576533885108035441854641558,1729 % 3459)
(250080108629580742359971194777281834038486312195887308677972398079274784853221 % 5042742352452825100452102098974021743778849965363536834724556147298247992373100762,1730 % 3461)
(252999770041119826458217644000799369118134964582390711052314787785636831780881 % 5110192983214732410881793579188420996092491431853511924824154656616581375201446894,1731 % 3463)
(255951328789402860796512063821074626827511959189476573446896484042377573681929 % 5178506091719274234458810041893307444853753867057326944223210395741462707519531250,1732 % 3465)
(258935107704013541044846216449452173254314242266730646870931838867764831642601 % 5247692198901459840630299090992401577966997039934850320583481664354070794762430726,1733 % 3467)
(261951432593863140659472690945075351022890813952285312261616515506221143614061 % 5317761947853640061891933875394985815892618097539366230723777214973902714316230218,1734 % 3469)
(265000632271561849781772937920405875983762438211874183058682523235505168583841 % 5388726105172163235429002162433025329124030964946323040374899996544992306083821022,1735 % 3471)
(268083038577956111286115420321290711417599332446907408186645430502075936201361 % 5460595562318087121135440354773415830719790369092562620376145297363064951201278434,1736 % 3473)
(271198986406832719139994552292134488710130725749984740733143884129919005376569 % 5533381336992085277055637289960295848316998066257781374588375911116600036621093750,1737 % 3475)
(274348813729790443270453457925759904535846040545912570206761865414101818045941 % 5607094574523687656626888378504786088239487305091008454631634401084857880392647866,1738 % 3477)
(277532861621279944083143262857244600131561791445866934673042942577828152945841 % 5681746549274996486576600465781254551458041549668166811439632756220368288197161678,1739 % 3479)
(280751474283812738653157741060153185940384495644955461198292544144698088308761 % 5757348666059019790037985112243990229355282989648309469488305180466827799512086482,1740 % 3481)
(284004999073339979398790503701156741323384471361515917539559907963555303852041 % 5833912461572766236481964538141050772361120545130831263027617373275683402650297574,1741 % 3483)
(287293786524801804759364961788200304047078607171784984069873436638882902102909 % 5911449605845246328512965134846375794071789186439610641872730638337135314941406250,1742 % 3485)
(290618190377848020025043920789829912170900132146044112679007333210526126166081 % 5989971903700526275534490900530872191128445037846921033928863455023246481871817406,1743 % 3487)
(293978567602730865008781126997589961782381825006642135256820974740350685116321 % 6069491296235982255849848706202348721023514881514187090789439518806934346366687938,1744 % 3489)
(297375278426370623707062863680607179238535890637377497023846651605354542107481 % 6150019862315904132017831624308629572585992897364100404781433991129377634755149142,1745 % 3491)
(300808686358594829465521374071335034638602033759987636682455017200417733916421 % 6231569820080599059326950558171532128813447626876606258223014292298831501774556314,1746 % 3493)
(304279158218551817446587028022410229788321019598634044704765034293475701786449 % 6314153528471146814180040070860206795412014780457610105319715645289421081542968750,1747 % 3495)
(307787064161299374387772158530958939083828286273330192845111619852630022196521 % 6397783488769960068089565559537833550950670596634203229824247610007639871765191346,1748 % 3497)
(311332777704569233739621502205931872235723182371179527931659627703662829673001 % 6482472346157304243969256564189208769393364910068511990426935715295232482051660998,1749 % 3499)
(314916675755708162280482903917471621389663750235246525313030765273441196559501 % 6568232891283933014567037670066935417032316409127217790192861570797946244448661002,1750 % 3501)
(318539138638796382219693570427332972038601169074885663000616222937040424428001 % 6655078061859996938315603596524202378829094265010542999991293200740710155928906654,1751 % 3503)
(322200550121944070620173189756217520916484707256281534679241006160678181952689 % 6743020944260384175679099910670705810970538037305741718365597393536567687988281250,1752 % 3505)
(325901297444766675694382377794890310951979484326505374202404599917866653680761 % 6832074775146653689346673468838960932117074889554819327926885158681108946877221686,1753 % 3507)
(329641771346039787152744939480388439931457568206799334808963796854352517263381 % 6922252943105722804466337209774055190517327046582900721149379393022097108732532858,1754 % 3509)
(333422366091534295309532035310980738795092282023964344193063269900673524494321 % 7013568990305472490626589376061645418763395407960715601618490286187931258622674062,1755 % 3511)
(337243479502032571076437014328083885977455001510776375267579448184784044020281 % 7106036614167435225580226876252853052683045837624653005473651408044964305301000594,1756 % 3513)
(341105512981526396297187557233003352984216872984408550727904906893946234477129 % 7199669669056731811867242918502759095429792553437627786515517085242271423339843750,1757 % 3515)
(345008871545597371096087531598501851214098338310159559932657410454185236262301 % 7294482167989425041634809397398732295101857367277420706107539275698847372035560426,1758 % 3517)
(348953963849980522027879638227154146625151646871052670140334314386408975384961 % 7390488284357459642176091736482545954294469845746920214514071229633306368759355518,1759 % 3519)
(352941202219311831824280806245606607161196048113045342440115032047133622741441 % 7487702353671359485120777973918812110929955830072184565702889814499774201637640322,1760 % 3521)
(356971002676060408432458755782816333543063040946538576250126672463734368676761 % 7586138875320854605914253181107445766868117542816320457017134747622754106855290134,1761 % 3523)
(361043784969646007831067528909863108350418330773311827205701737600368030335269 % 7685812514353612157325626871935534566626089084030866160901496186852455139160156250,1762 % 3525)
(365159972605742621788703243181266399798473183148324560664567187320759355434641 % 7786738103272247011334426006117221986443304338793977360711866302286880236035059566,1763 % 3527)
(369319992875768838296223668022880269932571490526578407714676771353094044135241 % 7888930643849789327969595093097758020841540377362171260600082320785654814287780978,1764 % 3529)
(373524276886565678856724806536716768015209028770444151464238420699326134880361 % 7992405308963788027621193246696063914298158079056636886071694130872177336800411782,1765 % 3531)
(377773259590262613153496205480642559435212149381349678684012307838788608480941 % 8097177444449230735124346683351545833448310118959804762272180578135952926117027274,1766 % 3533)
(382067379814332447835379165305582151561712947492104641549941865111035199352609 % 8203262570970462409636915837003724834323824833724854848015053158831596374511718750,1767 % 3535)
(386407080291835782259006412132404702825050352317061983116810356600149908291281 % 8310676385912286534108097139606980122348854031222750556351659190447129341341771106,1768 % 3537)
(390792807691855720006769087311144271431478941949656918408791289041415376961721 % 8419434765290434412076750740645679021735045031375513420415743999757658038135061238,1769 % 3539)
(395225012650123520856380850493544336869806501994077249054127160448426203990581 % 8529553765681589807758404767831482292358220959262979988893376327456758132260240442,1770 % 3541)
(399704149799835873610915849385927789192548315533690873238565972027607049366321 % 8641049626173157867992245168299478463042064244892474018629311950579000730396264014,1771 % 3543)
(404230677802664465805496128209362586105899615328361302875141651300714149954649 % 8753938770332968981738407646319642441961470551458814801164703608250617980957031250,1772 % 3545)
(408805059379958521786685891738186246354770523608377704038120222567301710275721 % 8868237808199109964556839303481598599899538456371604520784977733824632777156947046,1773 % 3547)
(413427761344140976011388240903449555561002185496525033926001054280222051411901 % 8983963538290076701978037257316885052748096834880375026534970545899271736156048298,1774 % 3549)
(418099254630298943631889884600267843690350990772806670328097363337723880401601 % 9101132949635444147010100910950168910408031278704133491535871405953419317784778302,1775 % 3551)
(422820014327969145520898094622218131305997037642921032950522206188719134866401 % 9219763223827251343333616818569170554317155596793821614139265918938554149051852354,1776 % 3553)
(427590519713118939843180680128701113445469959152357045514137129976107153916889 % 9339871737092300937134661249554674793812939443481798720931467643523216247558593750,1777 % 3555)
(432411254280323607096954417198212339098283550409545473245860947100055291931461 % 9461476062385574447136260365053347439926910744939572626077518371535932553441039386,1778 % 3557)
(437282705775140530226651947398230914188938665443676320372274408196195614883281 % 9584593971504966384330475840509418900523452025371314302276965460741800386739194158,1779 % 3559)
(442205366226680905947294630547876606870406898862221524025562554256869909442921 % 9709243437227542150308254909973779163430717577484682729841238536037377398016077362,1780 % 3561)
(447179731980379617817553214398707707249664644046240905098773481667766612864681 % 9835442635467526496054559950647409640302329208434865712889130002710512738395444294,1781 % 3563)
(452206303730963895851814355526863191324014031907583059049148459026571321114829 % 9963209947456231191745233354276860734667704312838117938347656648087501525878906250,1782 % 3565)
(457285586555621381569294586531840280643694871804885688080843172516237910652001 % 10092563961944132442573621819265042886731723218847556936372693995796373801497700126,1783 % 3567)
(462418089947368211338540409346215837901809034958611250708774118663162090373361 % 10223523477425310486074153524323010766921926280879565662163511000783617837022550818,1784 % 3569)
(467604327848617724686590307888165480010898933509106074159988554594103324194041 % 10356107504384465722922721155513798632691746999970515009126830461373391783806589622,1785 % 3571)
(472844818684950397901698319784327758790883986785727104616457186915484872344661 % 10490335267566727665906684956496551560547324024512726893632365496219392860835491834,1786 % 3573)
(478140085399085596764856118449801755656757429243736248702301471643492089273969 % 10626226208270474940798312851247765314897620606929820041841594502329826354980468750,1787 % 3575)
(483490655485055735596407919883865380173918648337364694730629375428630302430841 % 10763799986663386538363194007590051120917321382809361198095748674656574374717781266,1788 % 3577)
(488897061022583422997816209526246870595181228652647726974636556170327967229641 % 10903076484121946498819213800661044859936270240883664999469863165090447589429770278,1789 % 3579)
(494359838711662167703072053956254067734234884082742455920461356423691768234461 % 11044075805594626208862625253885896095984163850561892763086229249557726399235167082,1790 % 3581)
(499879529907341210827296717633460757602974713100126903646628532821442095139841 % 11186818281988970507027111749549244138232046794519155446722400929892774059861246974,1791 % 3583)
(505456680654715043509675692313819333566172089543063506548420473167836353719809 % 11331324472582815825771985421109857502936098395635879674406357970547676086425781250,1792 % 3585)
(511091841724118161491905280958642909236642794485997311425927487312813198611481 % 11477615167459870648440249183355529511056975950260452700206206731968976611083334806,1793 % 3587)
(516785568646525600549697561130387214959663556765174897502531822872245701899621 % 11625711389969890626220585059682772179741634212943100711550084878866258486126104538,1794 % 3589)
(522538421749159788901442492261598944662307409859472365780397005013715973393681 % 11775634399213682784624814328556098500752243804418491569699528054668891717903061742,1795 % 3591)
(528350966191304244752705155086535636629742913930499444304269406518524347683721 % 11927405692553175350890389387387161806593592218602554940489120102175545884466761714,1796 % 3593)
(534223772000324638995658884018960152613175255986644180649168611889863862127849 % 12081047008146791853273399458033120694318852708984888032968785032248497009277343750,1797 % 3595)
(540157414107897734766616687535115594316657143075958719495944243212580132637421 % 12236580327510370280549778322593163900868578569930462890899622252269415547031612746,1798 % 3597)
(546152472386448707070297021906352485561600006435419562515110879347416753680801 % 12394027878103870245330274533224505735454692146041550663783768109542705792994405598,1799 % 3599)
(552209531685797337004096535707941900385301636559588764452186012265330317501201 % 12553412135944113268158678452823778515786051885960675127021468348740673678109925602,1800 % 3601)
(558329181870013566257170162858209509368463181482545265049890780697298237759801 % 12714755828243803490944211431309893142419052790639337323198290995078503788614888054,1801 % 3603)
(564512017854482888515243525305119628692997474459811376138113184537553999273589 % 12878081936077078338220312526171031347207381365400704342457460874581336975097656250,1802 % 3605)
(570758639643182045170486722250282185222082280248304361779264355953635561802161 % 13043413697071840873166783179153757713807054132358712144600029759030942000279067086,1803 % 3607)
(577069652366165483314121839741476582919693808183234667661297995090192680470681 % 13210774608129127842424886448307789153791072720540084283896595613127152388731125458,1804 % 3609)
(583445666317263024375355224062147620811708491841611965557942615881856887136521 % 13380188428169769669621108554503700866729754830942415847420890106602652822509810662,1805 % 3611)
(589887296991989181961332540699659837533302354349231430394942186576201261251581 % 13551679180908600942341494930790405477514591134490154345533290964779929003341277994,1806 % 3613)
(596395165125664557446699008904208515144019472839659312340805643129883586782529 % 13725271157656482241212450514288682185917033043139243944768586575198173522949218750,1807 % 3615)
(602969896731749731655574185025823810548753461891597607200428450775929828999201 % 13900988920150396482894393193196118757409458254427582774642791268195116667205349826,1808 % 3617)
(609612123140392060570861392388849558753550320013962807726860216185662319516761 % 14078857303411885291331494396284817151532381471503387026683042761998983868662316118,1809 % 3619)
(616322481037185772393323185197438045666663670820337550944626959824520970379141 % 14258901418634093273674839028096457206923493668311315648249981680568128303847168922,1810 % 3621)
(623101612502145752453258404363289555021693777304605446309387060634378463892561 % 14441146656097690459059685729365153492348288415948456733584182466411667151098383534,1811 % 3623)
(629950165048895391448381034343897903151185991546537608551241815433419822880169 % 14625618688115945560023202644709170951913337899163991551176877692341804504394531250,1812 % 3625)
(636868791664068861240068878213660673202965964033593912754461627792339989472041 % 14812343472009225137951293130373772022610094905357726721635404274606314708397312966,1813 % 3627)
(643858150846928170983938575226820031860495278491799820600286844700015578166541 % 15001347253109196195697221866966382034255574359918668977936209413682608876879629578,1814 % 3629)
(650918906649195344697104887137694687701313199722652897284781782193186404558561 % 15192656567793012182577135899666469127740643066594752227159049807428943094372852382,1815 % 3631)
(658051728715100049470863113401860769846940931725403303813544908767152543016241 % 15386298246547764879475805410801153522315538578781262259709279028674701843939456674,1816 % 3633)
(665257292321642991421234823928740368212431137588781294469314219608395987142009 % 15582299417065487134948678182059079897892327964788569667577116541457176208496093750,1817 % 3635)
(672536278419075384128153693642034325509022129010439007328088940687488027564181 % 15780687507368993947143484352403083755487999306555085762968849741154001223953008506,1818 % 3637)
(679889373671594781744328749560091814060466291137932014366544403051826859617521 % 15981490248968851931247128412266213667488634215495590680154903392757115884296317838,1819 % 3639)
(687317270498257556154269034107673889925138051710077921449057531243849704004281 % 16184735680051769778153604774782923299088860101171147142662528146718694832540113042,1820 % 3641)
(694820667114108284529822134181764184867025842990009725921694621514708014306121 % 16390452148700704897309477975152794395715584826875798237295189514935590579142549414,1821 % 3643)
(702400267571526300358077938106402266222115908644602429347251408843016035243549 % 16598668316146984045389557399595923773995225818450358907009755375123023986816406250,1822 % 3645)
(710056781801789647507799979228527336100947374849684325722191045898170488469121 % 16809413160054738372752428618434946402114837360399989974163896764848088548145688446,1823 % 3647)
(717790925656856663148824099794901997700717464705235143391912667992053648667201 % 17022715977837955971690326243884137623492230806618150474783920815617823934223232898,1824 % 3649)
(725603420951365401342234665431913294119167060162863029160843426655527392795801 % 17238606390010457684488490132052927644036089744187051797837598708297027236580602902,1825 % 3651)
(733494995504851094874691142331717663951049086861220323168722856494588568545701 % 17457114343569104625414885019807903893632214895573252151138485732814358917874513754,1826 % 3653)
(741466383184181838415103468070754472005780256416921808474081957073562708710289 % 17678270115410548589142442546913924575791828320606537636231975495600700378417968750,1827 % 3655)
(749518323946212661322986010589223756057045090516402644758397748815906049980361 % 17902104315781839258934483181695941916328275516743859450107734600838678421047804786,1828 % 3657)
(757651563880658143432271247245270322860836033098474750616978947378423282463081 % 18128647891765204891372600921034388332481044375804710880062004990851981581064826758,1829 % 3659)
(765866855253183711869121121047404445361418909767278615474526769640021467512621 % 18357932130797325940649188909882010875714785004465196073770224616153825910560373962,1830 % 3661)
(774164956548715741434292905240569825809687835677228700274345779871925243368481 % 18589988664223423894659336671104028324766904561132723780105590782945383204495001694,1831 % 3663)
(782546632514970565286824698812722215458008146821820610923903947861212284667729 % 18824849470886490427485679216404034816708300030340743725551662016797065734863281250,1832 % 3665)
(791012654206202486603101318559610869984843412667183351663863763759115059241401 % 19062546880751984828552825351003077988221619189693450040307023002705517822715009526,1833 % 3667)
(799563799027170865550612605186554233302688703600812913587536418436283431252661 % 19303113578568330547914406381293725291297783435843095551244325944401379351735151418,1834 % 3669)
(808200850777326339305761356403355026141276467710596534610546467843248414984241 % 19546582607563544600006013894395371528188562409023038012154413732063365664515878222,1835 % 3671)
(816924599695216215956725404991109985498099288087138104024336348518681535007961 % 19792987373178336494933068726723073250141121375409312311145514154308359956100465234,1836 % 3673)
(825735842503109065962405522820044113820495072171767935023315198199412590591369 % 20042361646836016317147009269169554865607811043936123951425543054938316345214843750,1837 % 3675)
(834635382451838517383644933413271890064299073706332518614012048250927559495741 % 20294739569749554546380435134153327394057408019042354898283894065219428583530154666,1838 % 3677)
(843624029365866243359903416596569482125966410970394853542624085567794314133441 % 20550155656766139215147632424249138232784359489523654326367115748056470563393858878,1839 % 3679)
(852702599688564112270094275888546699500207021574577829816965620677617710040161 % 20808644800249579021158199713006027585123609485629548180010634778151030166269967682,1840 % 3681)
(861871916527715452686999369750225463206007255761844493256505388842245075047641 % 21070242274000904061826578182392004724267535986405182280923862096012869523908156374,1841 % 3683)
(871132809701235366607187851521158755848527640069561382249958298080259409056709 % 21334983737217518931878791160457801270357176506803838218010828064751625061035156250,1842 % 3685)
(880486115783110005509268142939590999937322778116074098810306768243948831836881 % 21602905238491266024050589526775198400788051291363402505921198313306959812307292206,1843 % 3687)
(889932678149554704559157697565739465083262112138905137051168457056293174802921 % 21874043219845759997230806832432695220082704688421521854007491367362047235102201138,1844 % 3689)
(899473347025390850738386536823274198007313875257316758864687030879471218259881 % 22148434520813357526323741884010027842879313387965385100822696716249084838527894342,1845 % 3691)
(909108979530641340816750869873261349122236278403546108211905288358913997171021 % 22426116382552129623779869892737191150837294122228554058532349834959980700080127114,1846 % 3693)
(918840439727344464920361842738181385392718115264332159670576607718384897489249 % 22707126452003207024371580547643724903589911916758417164800500350451469421386718750,1847 % 3695)
(928668598666586030956717833124165570985701498110917255178086704977743976958321 % 22991502786088872352567787549624207661238059836296929330055664173998590711755674146,1848 % 3697)
(938594334435749524346259403013312795790464206158320369755422990251389042308601 % 23279283855951776045987383895860141013445224211852036501944906391254776134999030198,1849 % 3699)
(948618532205984076371302912903587475479404277363953279520530430498845428722901 % 23570508551235656289087273959460286801067752777058218112225322380890346410853310202,1850 % 3701)
(958742084279889992984616670199121820800210709191491318844537011785594618911601 % 23865216184407946518668158560762686251505621540988036288205543680944179615587229454,1851 % 3703)
(968965890139421574117492742646027056782813111752178863986945176597200147914489 % 24163446495124657397163871377495767616071639311382902077411285968327522277832031250,1852 % 3705)
(979290856494006931387233982407073010236946090837816986701438934347460561903561 % 24465239654637923511222789303946784303479681526528540344537684008825691478903752486,1853 % 3707)
(989717897328884489622740216795056715833788386441825133826214389888348301797981 % 24770636270246608441999036723238267866994883291253043465598884252568428708596798058,1854 % 3709)
(1000247933953655834800525597432955419040906062088662795833402932037668941758721 % 25079677389790365270054700357949589097630963027221380595725212627683553432124267262,1855 % 3711)
(1010881895051054547808180895716223267531534012202627572783537727866595563402881 % 25392404506187553022041358413924352184279775960689024016281393266959888546713115394,1856 % 3713)
(1021620716725930639924124442643110139539683722174917616972157804012537511707929 % 25708859562017413038590670400714349091785025843613032439047422800230979919433593750,1857 % 3715)
(1032465342554450182017541718966079864348504888820831268138781707498890856816101 % 26029084954146912743311821420414327792681230276506703891116856697228323716083179226,1858 % 3717)
(1043416723633509695226738229851628219699066844700956387910563655029984100268561 % 26353123538402667821682009473410374090220434430613365018217143035779581737797556718,1859 % 3719)
(1054475818630364846263728515584845735077147649942071668707341725310708136696841 % 26681018634288357376140152226943261022959353152307912179670800705528377345069217522,1860 % 3721)
(1065643593832472965513724276204493486469589552431820300175008091391896946128361 % 27012814029748050210070329458847229433611922054510087644415143697510296119798236934,1861 % 3723)
(1076921023197548880746197697214493525634830524876853345981828490807316814345069 % 27348553985975864008808450500087018823312502088910207476146752014756202697753906250,1862 % 3725)
(1088309088403833533525275684424268876046753615064536934156952416704257686689441 % 27688283242272382830543056547970627456978865934354479554523918717038301106072806366,1863 % 3727)
(1099808778900574819297222530765286871561740115139858165487156025944815112317841 % 28032047020948261994230392343634176344438156629244034599848175949549147084228958178,1864 % 3729)
