(793 % 8388608,1 % 2)
(1941514137153733654783936489194573013403893388164330238940773212396480518541 % 22066910043373837760361024254702156277862017690693516525607373896104275528152074,1366 % 2733)
(1971461628647010913420513921434740957932903546526846236265162157081504957409 % 22441330463500985826835840824111494184514946564537450664845765185356140136718750,1367 % 2735)
(2001846264450684760213535760414898035762159908358559501810110851327180188081 % 22821823174631163623424383298328962381233636678325862194097757856999849995711906,1368 % 2737)
(2032674056554742250481370091023897085783153914008403224675541824764866035321 % 23208482110734516009810845577650853984512356558085290555204234603381936141488438,1369 % 2739)
(2063951094418658680055872588147988869224949804293190698968991018678258760981 % 23601402588660101247558880755975775956628840282775872131551172154864856286379642,1370 % 2741)
(2095683545899921821676662231225342574079557309552571909417533118109473767921 % 24000681327462254472547791088970062299858479257829364180113775135656449883740814,1371 % 2743)
(2127877658192802809358535273690944098676901677595193593714503634171742363449 % 24406416467982642600411947743551567380969573239151889611300352787971496582031250,1372 % 2745)
(2160539758777476183863888775984098849268853943773242100567239430884242408521 % 24818707592691203231851333579070933691246052707264785082323893974634904418055846,1373 % 2747)
(2193676256379592517851472408157513366254134359957976058833463104971629689501 % 25237655745789197614772287752663783026415568053734724826763790639262682142251498,1374 % 2749)
(2227293641940407951393018434632460415434100000017906605143317139197697328001 % 25663363453577645622734785306748036515928901335719409877116227496036986670501502,1375 % 2751)
(2261398489597575887385232571013318911046767393877526051435247597411264952001 % 26095934745094449028357410281221500961463036064817025942020075321351947475521154,1376 % 2753)
(2295997457676707021971193032337457794902515644231612508451027413744117089689 % 26535475173023548090435364240590088084331666689955292740653041625022888183593750,1377 % 2755)
(2331097289693804817457341677189875548331717185123342150513657294835176820261 % 26982091834879495638872818868114778587863737738948196053846407924997964905156186,1378 % 2757)
(2366704815368684464404906877019465806148611288588697458976797338576296564881 % 27435893394470872436472092017562736989776260517463979031530000400344004445013358,1379 % 2759)
(2402826951649484325622724083536907340753841730994407175203050263882122165321 % 27896990103646007625553276472759439459382585916167739581178528779174119341224562,1380 % 2761)
(2439470703748379807726969971064471027602804267421964403103547560244083954281 % 28365493824324508534735571730289039476903709743202974470819204132785098631145094,1381 % 2763)
(2476643166188610565797251022760916106193355879122129679254507901618001011629 % 28841518050818145031474235682037845744947074518281533499949101853370666503906250,1382 % 2765)
(2514351523862932913482734699715023029109554728263829759418738402151322816801 % 29325177932444674963635809824552622364022082000442998979134060389060931144664926,1383 % 2767)
(2552603053103610284731520762075120130722156921923413086523935293350911658961 % 29816590296438239043072924802937586853929734603129147725169391200998481579826018,1384 % 2769)
(2591405122764055574166151458413742089654290462963724535910223178615336352441 % 30315873671159995790435604617727768928748547048348785043714553381871329279000822,1385 % 2771)
(2630765195312240171042968329608645893628627921354808941181674209817261758261 % 30823148309612709887979172374414325157494534736490422291488864382965130655064634,1386 % 2773)
(2670690827935985496747839948765912233478214294087808741887672869349313854769 % 31338536213263050480594185637610998870021522529611956997541710734367370605468750,1387 % 2775)
(2711189673660253857930489034821008810186087139778967418211263228011758391641 % 31862161156175399629430198942378936687734745356476525890479188488484934991434066,1388 % 2777)
(2752269482476556436699096152056647297347993638745548840105936769877326319241 % 32394148709461015262096190794031239055400830581933615416643792483018179682341478,1389 % 2779)
(2793938102484597255820881618884861465147284980273069715624176519702733468861 % 32934626266046437583324940146072674634033312506261552272263110713855656210682282,1390 % 2781)
(2836203481046272980637768823307040525170127581168304213702679680776182197441 % 33483723065765073015060734498782880908676700199903718930578019349129211612531774,1391 % 2783)
(2879073665952149450443779591484588611651794434668721084876587080247452944609 % 34041570220775935330089679586350944834394530774733660221441714596748352050781250,1392 % 2785)
(2922556806600536870417238062969432043288319103064502990373396675287616888281 % 34608300741313569733545998548179267213273839626338966654714090993977338171515606,1393 % 2787)
(2966661155189286640890856479212464550108628330251417615183114567710898993221 % 35184049561773232236909196052365346628188501610595658541559274984018279349811738,1394 % 2789)
(3011395067920433853810993964509821634362891125677734143016767462346375344081 % 35768953567135443764516064767390952273527271331494897528147998831915814505520942,1395 % 2791)
